run_name,score_name,fold,heldout_pos_user,n_test_rows,n_test_pos_rows,day_pr_auc,day_roc_auc,day_top1_recall,n_test_users,n_test_pos_users,user_pr_auc,user_roc_auc,user_top1pct_recall,heldout_user_rank
qwen3_8b_r42_fold_aligned,base_nll,30,JJM0203,268570,33,8.274147521682913e-05,0.28705919538653946,0.0,801,1,0.008264462809917356,0.85,0.0,121
qwen3_8b_r42_fold_aligned,neg_delta_nll,30,JJM0203,268570,33,6.75358891342229e-05,0.09233601464094841,0.0,801,1,0.0013227513227513227,0.05625000000000002,0.0,756
qwen3_8b_r42_fold_aligned,adapted_nll,31,JMB0308,270361,6,0.0006742346069043959,0.9808270607164654,0.16666666666666666,801,1,0.05,0.97625,0.0,20
qwen3_8b_r42_fold_aligned,base_nll,31,JMB0308,270361,6,2.7223418404489434e-05,0.5213145678829687,0.0,801,1,0.00392156862745098,0.6825,0.0,255
qwen3_8b_r42_fold_aligned,neg_delta_nll,31,JMB0308,270361,6,1.5337489066841203e-05,0.19501581254276784,0.0,801,1,0.0013351134846461949,0.06499999999999995,0.0,749
qwen3_8b_r42_fold_aligned,adapted_nll,32,JRG0207,269725,5,0.0004782256480395069,0.9774514311137475,0.0,801,1,0.030303030303030304,0.96,0.0,33
qwen3_8b_r42_fold_aligned,base_nll,32,JRG0207,269725,5,2.2373948662709725e-05,0.4953655642888922,0.0,801,1,0.0027624309392265192,0.5487500000000001,0.0,362
qwen3_8b_r42_fold_aligned,neg_delta_nll,32,JRG0207,269725,5,1.2875261806815244e-05,0.17608334569182854,0.0,801,1,0.0013605442176870747,0.08250000000000002,0.0,735
qwen3_8b_r42_fold_aligned,adapted_nll,33,KLH0596,270107,1,5.2946471117700005e-05,0.9300793021998771,0.0,801,1,0.1,0.98875,0.0,10
qwen3_8b_r42_fold_aligned,base_nll,33,KLH0596,270107,1,5.423758230553115e-06,0.3174050187704086,0.0,801,1,0.0013315579227696406,0.0625,0.0,751
