layer,latent_mult,k,context_mode,feature_set,receiver_type,pair_idx,receiver_row_idx,matched_row_idx,receiver_example_id,matched_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,effect,strong_effect
18,4,8,dept_role,control5_active,positive,48,25418,4341,CDE1846:476,AFP2709:97,0.75,0.45957010984420776,0.44795140624046326,-0.011618703603744507,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,49,25419,116027,CDE1846:477,SDM3560:479,0.75,0.48583829402923584,0.47228506207466125,-0.013553231954574585,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,50,25420,73290,CDE1846:478,KRB3120:171,0.75,0.4507943093776703,0.44334977865219116,-0.007444530725479126,5,7,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,positive,51,30006,133943,CMP2946:401,WEC3721:288,0.25,0.4071964919567108,0.4285668730735779,0.021370381116867065,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,positive,52,30007,99390,CMP2946:402,NVH3726:267,0.25,0.35271212458610535,0.3788908123970032,0.026178687810897827,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,positive,53,30008,27581,CMP2946:403,CHL3430:80,0.25,0.4106225371360779,0.4308425486087799,0.020220011472702026,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,positive,54,30009,19646,CMP2946:406,BSS2956:413,1.0,0.5697546005249023,0.6244263648986816,0.0546717643737793,5,5,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,positive,55,30010,99349,CMP2946:407,NVH3726:207,1.0,0.4113714098930359,0.4247363805770874,0.013364970684051514,5,10,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,positive,56,30011,51257,CMP2946:408,GSH1593:338,1.0,0.42193537950515747,0.43586185574531555,0.013926476240158081,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,positive,57,30012,72770,CMP2946:409,KMS0954:450,1.0,0.3991337716579437,0.4106939435005188,0.011560171842575073,5,11,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,positive,58,30013,19447,CMP2946:410,BSS2956:122,1.0,0.3866937458515167,0.3983249068260193,0.011631160974502563,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
